occ_code,occ_title,major_code,automation_prob,score_source,education_req,emp_cagr,emp_trend_risk,ai_exposure_score,ai_exposure_raw,wage_cagr,real_wage_growth,wage_stagnation_risk,risk_index
15-2031,Operations Research Analysts,15,0.035,actual,Bachelor's degree,0.005806823948361739,0.42479108635097496,0.7983333333333333,4.193333333333333,0.01745928152670806,-0.017540718473291944,0.9411764705882353,0.4397180211917636
15-2041,Statisticians,15,0.22,actual,Master's degree,-0.04448690495940677,0.8565459610027855,0.9033333333333333,4.613333333333333,0.032327464724787314,-0.0026725352752126896,0.6106442577030813,0.5767391641893527
15-2041,Statisticians,15,0.22,actual,Master's degree,-0.04448690495940677,0.8565459610027855,0.7741666666666667,4.096666666666667,0.032327464724787314,-0.0026725352752126896,0.6106442577030813,0.544447497522686
15-2051,Data Scientists,15,0.1285,imputed,,,0.5,0.8225,4.29,,,0.5,0.43202500000000005
15-2051,Data Scientists,15,0.1285,imputed,,,0.5,0.8316666666666668,4.326666666666667,,,0.5,0.43431666666666674
15-2099,"Mathematical Science Occupations, All Other",15,0.1285,imputed,,,0.5,0.865,4.46,,,0.5,0.44265000000000004
17-1011,"Architects, Except Landscape and Naval",17,0.018,actual,Bachelor's degree,0.00326682847998927,0.44986072423398327,0.7383333333333333,3.953333333333333,0.02587580234314002,-0.009124197656859984,0.8137254901960784,0.4038143017095418
17-1012,Landscape Architects,17,0.045,actual,Bachelor's degree,0.007045758351737819,0.4080779944289693,0.5933333333333334,3.3733333333333335,0.028030312738148266,-0.006969687261851737,0.7450980392156863,0.35971363810148016
17-1021,Cartographers and Photogrammetrists,17,0.88,actual,Bachelor's degree,0.03710436927113503,0.12534818941504178,0.7783333333333333,4.113333333333333,0.03456144562257002,-0.0004385543774299838,0.5168067226890756,0.649173979619703
17-1022,Surveyors,17,0.38,actual,Bachelor's degree,0.016558304362019438,0.2924791086350975,0.855,4.42,0.02792964576641266,-0.007070354233587345,0.7507002801120448,0.5368508637438263
17-1022,Surveyors,17,0.38,actual,Bachelor's degree,0.016558304362019438,0.2924791086350975,0.8633333333333333,4.453333333333333,0.02792964576641266,-0.007070354233587345,0.7507002801120448,0.5389341970771595
17-2011,Aerospace Engineers,17,0.017,actual,Bachelor's degree,0.008172642556971699,0.3969359331476323,0.8658333333333335,4.463333333333334,0.027987526578498345,-0.007012473421501658,0.7464985994397759,0.4146203098788262
17-2021,Agricultural Engineers,17,0.49,actual,Bachelor's degree,-0.013696470432808305,0.6392757660167131,0.8516666666666666,4.406666666666666,0.04582945438162356,0.010829454381623554,0.16806722689075626,0.5619819039036228
17-2031,Bioengineers and Biomedical Engineers,17,0.037,actual,Bachelor's degree,0.030938992493368067,0.17130919220055707,0.8300000000000001,4.32,0.02992612139378492,-0.005073878606215082,0.6876750700280112,0.35971309894431314
17-2041,Chemical Engineers,17,0.017,actual,Bachelor's degree,-0.05820303140129557,0.9122562674094707,0.7691666666666668,4.076666666666667,0.018318303549469617,-0.016681696450530387,0.9355742296918768,0.5218790546023424
17-2051,Civil Engineers,17,0.019,actual,Bachelor's degree,0.026629086430984827,0.1977715877437326,0.7183333333333333,3.873333333333333,0.021368556949866724,-0.01363144305013328,0.896358543417367,0.3611914323946849
17-2051,Civil Engineers,17,0.019,actual,Bachelor's degree,0.026629086430984827,0.1977715877437326,0.7766666666666666,4.1066666666666665,0.021368556949866724,-0.01363144305013328,0.896358543417367,0.3757747657280182
17-2051,Civil Engineers,17,0.019,actual,Bachelor's degree,0.026629086430984827,0.1977715877437326,0.7516666666666667,4.006666666666667,0.021368556949866724,-0.01363144305013328,0.896358543417367,0.36952476572801823
17-2061,Computer Hardware Engineers,17,0.22,actual,Bachelor's degree,0.03378872296838864,0.14902506963788298,0.8108333333333333,4.243333333333333,0.047133622688204646,0.012133622688204643,0.14565826330532217,0.3423620867567083
17-2071,Electrical Engineers,17,0.1,actual,Bachelor's degree,0.009137225487888312,0.3844011142061281,0.8158333333333332,4.263333333333333,0.030170444763474746,-0.004829555236525257,0.6792717086834734,0.4227293124770799
17-2072,"Electronics Engineers, Except Computer",17,0.025,actual,Bachelor's degree,-0.04536464081846969,0.8635097493036212,0.7658333333333334,4.0633333333333335,0.03496004679643172,-3.995320356828258e-05,0.5028011204481793,0.4495804512612845
