occ_code,occ_title,major_code,major_group_title,risk_index,automation_prob,ai_exposure_score,emp_trend_risk,wage_stagnation_risk,risk_tier,score_source,education_req,national_employment
19-1099,"Life Scientists, All Other",19,"Life, Physical, and Social Science",0.3342,0.061,0.5,0.3524,0.7619,Medium,imputed,,7460
19-2011,Astronomers,19,"Life, Physical, and Social Science",0.4596,0.041,0.8767,0.5111,0.8123,Medium,actual,Doctoral or professional degree,2120
19-2012,Physicists,19,"Life, Physical, and Social Science",0.325,0.1,0.8442,0.2354,0.1793,Medium,actual,Doctoral or professional degree,20430
19-2021,Atmospheric and Space Scientists,19,"Life, Physical, and Social Science",0.6828,0.67,0.7875,0.3733,0.9552,Medium,actual,Bachelor's degree,10000
19-2031,Chemists,19,"Life, Physical, and Social Science",0.4619,0.1,0.7883,0.5167,0.8095,Medium,actual,Bachelor's degree,82770
19-2032,Materials Scientists,19,"Life, Physical, and Social Science",0.3819,0.021,0.8175,0.3384,0.6765,Medium,actual,Bachelor's degree,8470
19-2041,"Environmental Scientists and Specialists, Including Health",19,"Life, Physical, and Social Science",0.4015,0.033,0.7883,0.3134,0.8571,Medium,actual,Bachelor's degree,89250
19-2041,"Environmental Scientists and Specialists, Including Health",19,"Life, Physical, and Social Science",0.3847,0.033,0.7208,0.3134,0.8571,Medium,actual,Bachelor's degree,89250
19-2041,"Environmental Scientists and Specialists, Including Health",19,"Life, Physical, and Social Science",0.393,0.033,0.7542,0.3134,0.8571,Medium,actual,Bachelor's degree,89250
19-2041,"Environmental Scientists and Specialists, Including Health",19,"Life, Physical, and Social Science",0.4101,0.033,0.8225,0.3134,0.8571,Medium,actual,Bachelor's degree,89250
19-2042,"Geoscientists, Except Hydrologists and Geographers",19,"Life, Physical, and Social Science",0.7648,0.63,0.8358,0.7911,0.9706,High,actual,Bachelor's degree,23470
19-2043,Hydrologists,19,"Life, Physical, and Social Science",0.43,0.014,0.8558,0.6017,0.6008,Medium,actual,Bachelor's degree,5850
19-2099,"Physical Scientists, All Other",19,"Life, Physical, and Social Science",0.5451,0.43,0.8625,0.1309,0.8754,Medium,actual,Bachelor's degree,22300
19-3011,Economists,19,"Life, Physical, and Social Science",0.6,0.43,0.8392,0.5585,0.7101,Medium,actual,Master's degree,17790
19-3011,Economists,19,"Life, Physical, and Social Science",0.59,0.43,0.7992,0.5585,0.7101,Medium,actual,Master's degree,17790
19-3022,Survey Researchers,19,"Life, Physical, and Social Science",0.5669,0.23,0.8633,0.8719,0.5644,Medium,actual,Master's degree,8290
19-3032,Industrial-Organizational Psychologists,19,"Life, Physical, and Social Science",0.3092,0.012,0.83,0.4749,0.0126,Medium,actual,Master's degree,790
19-3033,Clinical and Counseling Psychologists,19,"Life, Physical, and Social Science",0.3944,0.061,0.78,0.5,0.5,Medium,imputed,,75990
19-3034,School Psychologists,19,"Life, Physical, and Social Science",0.3338,0.061,0.5375,0.5,0.5,Medium,imputed,,63940
19-3039,"Psychologists, All Other",19,"Life, Physical, and Social Science",0.3807,0.0043,0.9233,0.0738,0.8894,Medium,actual,Master's degree,18820
19-3039,"Psychologists, All Other",19,"Life, Physical, and Social Science",0.3859,0.0043,0.9442,0.0738,0.8894,Medium,actual,Master's degree,18820
19-3041,Sociologists,19,"Life, Physical, and Social Science",0.4655,0.059,0.8725,0.7451,0.4986,Medium,actual,Master's degree,2260
19-3051,Urban and Regional Planners,19,"Life, Physical, and Social Science",0.3771,0.13,0.7408,0.2298,0.6261,Medium,actual,Master's degree,44230
19-3091,Anthropologists and Archeologists,19,"Life, Physical, and Social Science",0.3594,0.0077,0.8517,0.0418,0.9006,Medium,actual,Master's degree,8990
19-3092,Geographers,19,"Life, Physical, and Social Science",0.4851,0.25,0.8483,0.4819,0.5112,Medium,actual,Bachelor's degree,1400
19-3093,Historians,19,"Life, Physical, and Social Science",0.5192,0.44,0.7233,0.273,0.7185,Medium,actual,Master's degree,3450
19-3094,Political Scientists,19,"Life, Physical, and Social Science",0.4298,0.039,0.8467,0.5181,0.6597,Medium,actual,Master's degree,5540
19-3099,"Social Scientists and Related Workers, All Other",19,"Life, Physical, and Social Science",0.3865,0.04,0.8042,0.4178,0.5728,Medium,actual,Bachelor's degree,37100
19-4012,Agricultural Technicians,19,"Life, Physical, and Social Science",0.3642,0.061,0.6592,0.5,0.5,Medium,imputed,,15130
19-4012,Agricultural Technicians,19,"Life, Physical, and Social Science",0.3742,0.061,0.6992,0.5,0.5,Medium,imputed,,15130
19-4013,Food Science Technicians,19,"Life, Physical, and Social Science",0.3625,0.061,0.6525,0.5,0.5,Medium,imputed,,14600
19-4021,Biological Technicians,19,"Life, Physical, and Social Science",0.5463,0.3,0.8917,0.6588,0.4776,Medium,actual,Bachelor's degree,69620
19-4031,Chemical Technicians,19,"Life, Physical, and Social Science",0.6698,0.57,0.8183,0.6936,0.6569,Medium,actual,Associate's degree,57540
19-4042,"Environmental Science and Protection Technicians, Including Health",19,"Life, Physical, and Social Science",0.3813,0.061,0.7275,0.5,0.5,Medium,imputed,,34670
19-4043,"Geological Technicians, Except Hydrologic Technicians",19,"Life, Physical, and Social Science",0.38,0.061,0.7225,0.5,0.5,Medium,imputed,,6980
19-4044,Hydrologic Technicians,19,"Life, Physical, and Social Science",0.3244,0.061,0.5,0.5,0.5,Medium,imputed,,2840
19-4051,Nuclear Technicians,19,"Life, Physical, and Social Science",0.6905,0.85,0.755,0.6671,0.1891,Medium,actual,Associate's degree,6470
19-4051,Nuclear Technicians,19,"Life, Physical, and Social Science",0.6974,0.85,0.7825,0.6671,0.1891,Medium,actual,Associate's degree,6470
19-4061,Social Science Research Assistants,19,"Life, Physical, and Social Science",0.6627,0.65,0.8692,0.6769,0.3333,Medium,actual,Bachelor's degree,30640
19-4071,Forest and Conservation Technicians,19,"Life, Physical, and Social Science",0.3621,0.061,0.6508,0.5,0.5,Medium,imputed,,30410
19-4092,Forensic Science Technicians,19,"Life, Physical, and Social Science",0.3098,0.0095,0.7467,0.2019,0.5266,Medium,actual,Bachelor's degree,19120
19-4099,"Life, Physical, and Social Science Technicians, All Other",19,"Life, Physical, and Social Science",0.5849,0.61,0.785,0.2758,0.5966,Medium,actual,Associate's degree,73910
19-4099,"Life, Physical, and Social Science Technicians, All Other",19,"Life, Physical, and Social Science",0.5759,0.61,0.7492,0.2758,0.5966,Medium,actual,Associate's degree,73910
19-5011,Occupational Health and Safety Specialists,19,"Life, Physical, and Social Science",0.4048,0.061,0.8217,0.5,0.5,Medium,imputed,,140610
19-5012,Occupational Health and Safety Technicians,19,"Life, Physical, and Social Science",0.389,0.061,0.7583,0.5,0.5,Medium,imputed,,30590
21-1012,"Educational, Guidance, and Career Counselors and Advisors",21,Community and Social Service,0.3565,0.0085,0.7708,0.1727,0.8389,Medium,actual,Master's degree,353310
21-1013,Marriage and Family Therapists,21,Community and Social Service,0.195,0.014,0.6417,0.085,0.0798,Low,actual,Master's degree,66740
21-1015,Rehabilitation Counselors,21,Community and Social Service,0.3704,0.0094,0.6908,0.6797,0.3866,Medium,actual,Master's degree,94740
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",21,Community and Social Service,0.1667,0.014,0.5,0.0084,0.2297,Low,imputed,,491930
21-1019,"Counselors, All Other",21,Community and Social Service,0.3132,0.014,0.5,0.3677,0.7269,Medium,imputed,,28580
21-1021,"Child, Family, and School Social Workers",21,Community and Social Service,0.2799,0.028,0.6725,0.1783,0.4328,Low,actual,Bachelor's degree,392550
21-1022,Healthcare Social Workers,21,Community and Social Service,0.3178,0.0035,0.605,0.3036,0.6961,Medium,actual,Master's degree,187630
21-1023,Mental Health and Substance Abuse Social Workers,21,Community and Social Service,0.2695,0.0031,0.7625,0.2674,0.1611,Low,actual,Bachelor's degree,132810
21-1029,"Social Workers, All Other",21,Community and Social Service,0.3118,0.014,0.5,0.3398,0.7549,Medium,imputed,,62930
21-1091,Health Education Specialists,21,Community and Social Service,0.3752,0.045,0.7725,0.2994,0.6947,Medium,actual,Bachelor's degree,65690
21-1092,Probation Officers and Correctional Treatment Specialists,21,Community and Social Service,0.4645,0.25,0.7167,0.4582,0.6246,Medium,actual,Bachelor's degree,89390
21-1093,Social and Human Service Assistants,21,Community and Social Service,0.3121,0.13,0.6358,0.3008,0.2731,Medium,actual,High school diploma or equivalent,437860
21-1094,Community Health Workers,21,Community and Social Service,0.3199,0.014,0.7458,0.3315,0.4104,Medium,imputed,,61660
21-1099,"Community and Social Service Specialists, All Other",21,Community and Social Service,0.2573,0.014,0.5,0.3343,0.3992,Low,imputed,,107730
21-2011,Clergy,21,Community and Social Service,0.25,0.0081,0.4067,0.2897,0.5812,Low,actual,Bachelor's degree,57200
21-2021,"Directors, Religious Activities and Education",21,Community and Social Service,0.2809,0.025,0.54,0.4526,0.3025,Low,actual,Bachelor's degree,22160
21-2099,"Religious Workers, All Other",21,Community and Social Service,0.1358,0.014,0.5,0.007,0.0252,Low,imputed,,15760
23-1011,Lawyers,23,Legal,0.3047,0.035,0.7308,0.2214,0.4244,Medium,actual,Doctoral or professional degree,754500
23-1012,Judicial Law Clerks,23,Legal,0.5975,0.41,0.69,0.7744,0.7073,Medium,actual,Doctoral or professional degree,13290
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",23,Legal,0.5824,0.64,0.7283,0.2563,0.6204,Medium,actual,Doctoral or professional degree,16370
23-1022,"Arbitrators, Mediators, and Conciliators",23,Legal,0.306,0.06,0.73,0.0446,0.6036,Medium,actual,Bachelor's degree,9210
23-1023,"Judges, Magistrate Judges, and Magistrates",23,Legal,0.6185,0.4,0.7442,0.734,0.8375,Medium,actual,Doctoral or professional degree,24030
23-2011,Paralegals and Legal Assistants,23,Legal,0.6578,0.94,0.7342,0.1407,0.4678,Medium,actual,Associate's degree,392880
23-2093,"Title Examiners, Abstractors, and Searchers",23,Legal,0.8409,0.99,0.8567,0.5961,0.7437,High,actual,High school diploma or equivalent,48580
23-2099,"Legal Support Workers, All Other",23,Legal,0.4479,0.41,0.5,0.3607,0.5784,Medium,imputed,,46760
25-1011,"Business Teachers, Postsecondary",25,Educational Instruction and Library,0.4471,0.13,0.5892,0.5237,0.9538,Medium,imputed,,82150
25-1021,"Computer Science Teachers, Postsecondary",25,Educational Instruction and Library,0.4562,0.13,0.7608,0.344,0.9678,Medium,imputed,,35480
25-1022,"Mathematical Science Teachers, Postsecondary",25,Educational Instruction and Library,0.4716,0.13,0.6058,0.6003,0.9874,Medium,imputed,,47670
25-1031,"Architecture Teachers, Postsecondary",25,Educational Instruction and Library,0.4341,0.13,0.695,0.2981,0.9916,Medium,imputed,,7700
25-1032,"Engineering Teachers, Postsecondary",25,Educational Instruction and Library,0.4642,0.13,0.7717,0.3747,0.9622,Medium,imputed,,40270
25-1041,"Agricultural Sciences Teachers, Postsecondary",25,Educational Instruction and Library,0.5292,0.13,0.7375,0.7549,0.9454,Medium,imputed,,8920
25-1042,"Biological Science Teachers, Postsecondary",25,Educational Instruction and Library,0.5173,0.13,0.8458,0.532,0.9832,Medium,imputed,,50190
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",25,Educational Instruction and Library,0.5722,0.13,0.8242,0.8524,0.958,Medium,imputed,,1520
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25,Educational Instruction and Library,0.5089,0.13,0.7425,0.6602,0.9286,Medium,imputed,,9900
25-1052,"Chemistry Teachers, Postsecondary",25,Educational Instruction and Library,0.4856,0.13,0.7092,0.5864,0.9272,Medium,imputed,,19980
25-1053,"Environmental Science Teachers, Postsecondary",25,Educational Instruction and Library,0.4343,0.13,0.7142,0.3162,0.937,Medium,imputed,,6690
25-1054,"Physics Teachers, Postsecondary",25,Educational Instruction and Library,0.5098,0.13,0.7992,0.5599,0.9734,Medium,imputed,,13090
25-1061,"Anthropology and Archeology Teachers, Postsecondary",25,Educational Instruction and Library,0.5567,0.13,0.9192,0.6741,0.9342,Medium,imputed,,5240
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25,Educational Instruction and Library,0.4083,0.13,0.675,0.2549,0.9104,Medium,imputed,,11300
25-1063,"Economics Teachers, Postsecondary",25,Educational Instruction and Library,0.4807,0.13,0.6925,0.6435,0.8459,Medium,imputed,,11560
25-1064,"Geography Teachers, Postsecondary",25,Educational Instruction and Library,0.5419,0.13,0.8242,0.7354,0.9118,Medium,imputed,,3330
25-1065,"Political Science Teachers, Postsecondary",25,Educational Instruction and Library,0.457,0.13,0.735,0.3816,0.9664,Medium,imputed,,16970
25-1066,"Psychology Teachers, Postsecondary",25,Educational Instruction and Library,0.4511,0.13,0.7475,0.3259,0.9804,Medium,imputed,,41530
25-1067,"Sociology Teachers, Postsecondary",25,Educational Instruction and Library,0.5448,0.13,0.86,0.7228,0.888,Medium,imputed,,11850
25-1069,"Social Sciences Teachers, Postsecondary, All Other",25,Educational Instruction and Library,0.442,0.13,0.5,0.5794,0.9944,Medium,imputed,,16580
25-1071,"Health Specialties Teachers, Postsecondary",25,Educational Instruction and Library,0.4118,0.13,0.7233,0.3106,0.7787,Medium,imputed,,221270
25-1072,"Nursing Instructors and Teachers, Postsecondary",25,Educational Instruction and Library,0.4135,0.13,0.8025,0.071,0.9776,Medium,imputed,,77960
25-1081,"Education Teachers, Postsecondary",25,Educational Instruction and Library,0.4663,0.13,0.6783,0.4944,0.972,Medium,imputed,,60830
25-1082,"Library Science Teachers, Postsecondary",25,Educational Instruction and Library,0.5488,0.13,0.8042,0.8162,0.8838,Medium,imputed,,3630
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25,Educational Instruction and Library,0.4751,0.13,0.6842,0.688,0.7633,Medium,imputed,,13150
25-1112,"Law Teachers, Postsecondary",25,Educational Instruction and Library,0.4114,0.13,0.6908,0.2159,0.9566,Medium,imputed,,20060
25-1113,"Social Work Teachers, Postsecondary",25,Educational Instruction and Library,0.4817,0.13,0.745,0.4903,0.9692,Medium,imputed,,12610
25-1121,"Art, Drama, and Music Teachers, Postsecondary",25,Educational Instruction and Library,0.4309,0.13,0.5642,0.5,0.9188,Medium,imputed,,93560
25-1122,"Communications Teachers, Postsecondary",25,Educational Instruction and Library,0.4593,0.13,0.7033,0.4777,0.9062,Medium,imputed,,29420
25-1123,"English Language and Literature Teachers, Postsecondary",25,Educational Instruction and Library,0.5142,0.13,0.7117,0.7312,0.9202,Medium,imputed,,57720
25-1124,"Foreign Language and Literature Teachers, Postsecondary",25,Educational Instruction and Library,0.492,0.13,0.5417,0.8231,0.9328,Medium,imputed,,19830
25-1125,"History Teachers, Postsecondary",25,Educational Instruction and Library,0.5294,0.13,0.8625,0.624,0.9132,Medium,imputed,,18790
25-1126,"Philosophy and Religion Teachers, Postsecondary",25,Educational Instruction and Library,0.4866,0.13,0.6225,0.6825,0.9496,Medium,imputed,,20460
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",25,Educational Instruction and Library,0.3623,0.13,0.5692,0.1058,0.979,Medium,imputed,,2770
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",25,Educational Instruction and Library,0.5116,0.13,0.6917,0.8315,0.8025,Medium,imputed,,12630
25-1194,"Career/Technical Education Teachers, Postsecondary",25,Educational Instruction and Library,0.392,0.13,0.6033,0.4373,0.6779,Medium,imputed,,114110
25-1199,"Postsecondary Teachers, All Other",25,Educational Instruction and Library,0.4609,0.13,0.5,0.7702,0.8655,Medium,imputed,,149840
25-2011,"Preschool Teachers, Except Special Education",25,Educational Instruction and Library,0.2454,0.0074,0.3808,0.2813,0.6064,Low,actual,Associate's degree,478780
25-2012,"Kindergarten Teachers, Except Special Education",25,Educational Instruction and Library,0.4831,0.15,0.5933,0.7479,0.8347,Medium,actual,Bachelor's degree,108870
25-2021,"Elementary School Teachers, Except Special Education",25,Educational Instruction and Library,0.3707,0.0044,0.5408,0.507,0.8824,Medium,actual,Bachelor's degree,1388390
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",25,Educational Instruction and Library,0.4727,0.17,0.7125,0.4638,0.8922,Medium,actual,Bachelor's degree,620090
25-2023,"Career/Technical Education Teachers, Middle School",25,Educational Instruction and Library,0.4235,0.26,0.6725,0.0655,0.9216,Medium,actual,Bachelor's degree,16870
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",25,Educational Instruction and Library,0.3878,0.0078,0.6542,0.4735,0.8431,Medium,actual,Bachelor's degree,1065210
25-2032,"Career/Technical Education Teachers, Secondary School",25,Educational Instruction and Library,0.3373,0.0088,0.7517,0.0529,0.902,Medium,actual,Bachelor's degree,111420
25-2051,"Special Education Teachers, Preschool",25,Educational Instruction and Library,0.3446,0.13,0.6567,0.156,0.6485,Medium,imputed,,29510
25-2052,"Special Education Teachers, Kindergarten and Elementary School",25,Educational Instruction and Library,0.3271,0.13,0.5,0.0696,0.9076,Medium,imputed,,260870
25-2057,"Special Education Teachers, Middle School",25,Educational Instruction and Library,0.3655,0.13,0.5542,0.5,0.5,Medium,imputed,,95200
25-2058,"Special Education Teachers, Secondary School",25,Educational Instruction and Library,0.4178,0.13,0.7633,0.5,0.5,Medium,imputed,,163930
25-2059,"Special Education Teachers, All Other",25,Educational Instruction and Library,0.3913,0.13,0.5783,0.61,0.4846,Medium,imputed,,33930
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25,Educational Instruction and Library,0.5255,0.19,0.5,0.9178,0.9398,Medium,actual,Bachelor's degree,37310
25-3021,Self-Enrichment Teachers,25,Educational Instruction and Library,0.3129,0.13,0.5333,0.0864,0.7353,Medium,actual,High school diploma or equivalent,332110
25-3031,"Substitute Teachers, Short-Term",25,Educational Instruction and Library,0.3374,0.13,0.4417,0.5,0.5,Medium,imputed,,524770
25-3041,Tutors,25,Educational Instruction and Library,0.3762,0.13,0.5967,0.5,0.5,Medium,imputed,,175070
25-3099,"Teachers and Instructors, All Other",25,Educational Instruction and Library,0.352,0.13,0.5,0.5,0.5,Medium,imputed,,113790
25-4011,Archivists,25,Educational Instruction and Library,0.6296,0.76,0.8192,0.1588,0.5938,Medium,actual,Master's degree,7970
25-4012,Curators,25,Educational Instruction and Library,0.4039,0.0068,0.7717,0.5014,0.7199,Medium,actual,Master's degree,12150
25-4013,Museum Technicians and Conservators,25,Educational Instruction and Library,0.603,0.59,0.58,0.5752,0.7129,Medium,actual,Bachelor's degree,12310
25-4022,Librarians and Media Collections Specialists,25,Educational Instruction and Library,0.3899,0.13,0.6517,0.5,0.5,Medium,imputed,,133790
25-4031,Library Technicians,25,Educational Instruction and Library,0.7776,0.99,0.5367,0.8245,0.5504,High,actual,Postsecondary nondegree award,68690
25-9021,Farm and Home Management Educators,25,Educational Instruction and Library,0.3876,0.0075,0.6425,0.4457,0.8992,Medium,actual,Master's degree,8220
25-9031,Instructional Coordinators,25,Educational Instruction and Library,0.3209,0.0042,0.7292,0.0794,0.8067,Medium,actual,Master's degree,227760
25-9044,"Teaching Assistants, Postsecondary",25,Educational Instruction and Library,0.3847,0.13,0.6308,0.5,0.5,Medium,imputed,,164090
25-9045,"Teaching Assistants, Except Postsecondary",25,Educational Instruction and Library,0.352,0.13,0.5,0.5,0.5,Medium,imputed,,1420350
25-9099,"Educational Instruction and Library Workers, All Other",25,Educational Instruction and Library,0.3182,0.13,0.5,0.3078,0.5308,Medium,imputed,,118590
27-1011,Art Directors,27,"Arts, Design, Entertainment, Sports, and Media",0.252,0.023,0.4908,0.11,0.6541,Low,actual,Bachelor's degree,53070
27-1012,Craft Artists,27,"Arts, Design, Entertainment, Sports, and Media",0.2761,0.035,0.4383,0.2437,0.6919,Low,actual,No formal educational credential,4580
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",27,"Arts, Design, Entertainment, Sports, and Media",0.3003,0.042,0.3492,0.539,0.5896,Medium,actual,Bachelor's degree,11220
27-1014,Special Effects Artists and Animators,27,"Arts, Design, Entertainment, Sports, and Media",0.3411,0.015,0.6017,0.8844,0.0518,Medium,actual,Bachelor's degree,19970
27-1019,"Artists and Related Workers, All Other",27,"Arts, Design, Entertainment, Sports, and Media",0.3575,0.0645,0.5,0.4136,0.8263,Medium,imputed,,6930
27-1021,Commercial and Industrial Designers,27,"Arts, Design, Entertainment, Sports, and Media",0.3261,0.037,0.6492,0.4791,0.3543,Medium,actual,Bachelor's degree,33490
27-1022,Fashion Designers,27,"Arts, Design, Entertainment, Sports, and Media",0.3727,0.021,0.5775,0.3579,0.9888,Medium,actual,Bachelor's degree,21450
27-1023,Floral Designers,27,"Arts, Design, Entertainment, Sports, and Media",0.2724,0.047,0.4433,0.5836,0.1737,Low,actual,High school diploma or equivalent,40590
27-1024,Graphic Designers,27,"Arts, Design, Entertainment, Sports, and Media",0.3498,0.082,0.5083,0.6365,0.4174,Medium,actual,Bachelor's degree,197830
27-1025,Interior Designers,27,"Arts, Design, Entertainment, Sports, and Media",0.2864,0.022,0.6525,0.1574,0.5532,Low,actual,Bachelor's degree,71500
27-1026,Merchandise Displayers and Window Trimmers,27,"Arts, Design, Entertainment, Sports, and Media",0.3462,0.48,0.37,0.1351,0.2311,Medium,actual,High school diploma or equivalent,165220
27-1027,Set and Exhibit Designers,27,"Arts, Design, Entertainment, Sports, and Media",0.2326,0.0055,0.4208,0.4861,0.1863,Low,actual,Bachelor's degree,10630
27-1029,"Designers, All Other",27,"Arts, Design, Entertainment, Sports, and Media",0.3447,0.0645,0.5,0.2911,0.9048,Medium,imputed,,9480
27-2011,Actors,27,"Arts, Design, Entertainment, Sports, and Media",0.3288,0.37,0.2358,0.234,0.5,Medium,actual,"Some college, no degree",55000
27-2012,Producers and Directors,27,"Arts, Design, Entertainment, Sports, and Media",0.3007,0.022,0.6833,0.1936,0.549,Medium,actual,Bachelor's degree,143120
27-2012,Producers and Directors,27,"Arts, Design, Entertainment, Sports, and Media",0.298,0.022,0.6725,0.1936,0.549,Low,actual,Bachelor's degree,143120
27-2012,Producers and Directors,27,"Arts, Design, Entertainment, Sports, and Media",0.237,0.022,0.4283,0.1936,0.549,Low,actual,Bachelor's degree,143120
27-2012,Producers and Directors,27,"Arts, Design, Entertainment, Sports, and Media",0.2803,0.022,0.6017,0.1936,0.549,Low,actual,Bachelor's degree,143120
27-2021,Athletes and Sports Competitors,27,"Arts, Design, Entertainment, Sports, and Media",0.2929,0.28,0.6625,0.0766,0.0,Low,actual,No formal educational credential,15070
27-2022,Coaches and Scouts,27,"Arts, Design, Entertainment, Sports, and Media",0.2726,0.013,0.6483,0.4067,0.1597,Low,actual,Bachelor's degree,248950
27-2023,"Umpires, Referees, and Other Sports Officials",27,"Arts, Design, Entertainment, Sports, and Media",0.6662,0.98,0.4708,0.7521,0.0406,Medium,actual,High school diploma or equivalent,15780
27-2031,Dancers,27,"Arts, Design, Entertainment, Sports, and Media",0.324,0.13,0.1942,0.7423,0.5,Medium,actual,No formal educational credential,8130
27-2032,Choreographers,27,"Arts, Design, Entertainment, Sports, and Media",0.3118,0.004,0.3683,0.954,0.1821,Medium,actual,High school diploma or equivalent,2860
27-2041,Music Directors and Composers,27,"Arts, Design, Entertainment, Sports, and Media",0.218,0.015,0.4825,0.4401,0.0224,Low,actual,Bachelor's degree,12540
27-2042,Musicians and Singers,27,"Arts, Design, Entertainment, Sports, and Media",0.3792,0.074,0.5325,0.7075,0.5,Medium,actual,No formal educational credential,36180
27-2091,"Disc Jockeys, Except Radio",27,"Arts, Design, Entertainment, Sports, and Media",0.3258,0.0645,0.5,0.5,0.5,Medium,imputed,,7920
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",27,"Arts, Design, Entertainment, Sports, and Media",0.2648,0.0645,0.5,0.195,0.5,Low,imputed,,16550
27-3011,Broadcast Announcers and Radio Disc Jockeys,27,"Arts, Design, Entertainment, Sports, and Media",0.3781,0.1,0.675,0.8329,0.0182,Medium,actual,Bachelor's degree,21240
27-3023,"News Analysts, Reporters, and Journalists",27,"Arts, Design, Entertainment, Sports, and Media",0.3706,0.0645,0.6792,0.5,0.5,Medium,imputed,,39250
27-3031,Public Relations Specialists,27,"Arts, Design, Entertainment, Sports, and Media",0.3585,0.18,0.5633,0.2117,0.6891,Medium,actual,Bachelor's degree,283380
27-3041,Editors,27,"Arts, Design, Entertainment, Sports, and Media",0.3537,0.055,0.6475,0.5529,0.395,Medium,actual,Bachelor's degree,91690
27-3042,Technical Writers,27,"Arts, Design, Entertainment, Sports, and Media",0.7374,0.89,0.7408,0.649,0.4426,High,actual,Bachelor's degree,45500
27-3043,Writers and Authors,27,"Arts, Design, Entertainment, Sports, and Media",0.3023,0.038,0.3158,0.3928,0.8641,Medium,actual,Bachelor's degree,47940
27-3043,Writers and Authors,27,"Arts, Design, Entertainment, Sports, and Media",0.3694,0.038,0.5842,0.3928,0.8641,Medium,actual,Bachelor's degree,47940
27-3091,Interpreters and Translators,27,"Arts, Design, Entertainment, Sports, and Media",0.5422,0.38,0.5817,0.6281,0.7941,Medium,actual,Bachelor's degree,52060
27-3092,Court Reporters and Simultaneous Captioners,27,"Arts, Design, Entertainment, Sports, and Media",0.3633,0.0645,0.65,0.5,0.5,Medium,imputed,,12870
27-3099,"Media and Communication Workers, All Other",27,"Arts, Design, Entertainment, Sports, and Media",0.2618,0.0645,0.5,0.5487,0.0084,Low,imputed,,19590
27-4011,Audio and Video Technicians,27,"Arts, Design, Entertainment, Sports, and Media",0.5522,0.55,0.6592,0.6058,0.3081,Medium,actual,Postsecondary nondegree award,70230
27-4012,Broadcast Technicians,27,"Arts, Design, Entertainment, Sports, and Media",0.645,0.74,0.65,0.9011,0.042,Medium,actual,Associate's degree,21110
27-4014,Sound Engineering Technicians,27,"Arts, Design, Entertainment, Sports, and Media",0.3822,0.13,0.62,0.5348,0.4552,Medium,actual,Postsecondary nondegree award,13080
27-4015,Lighting Technicians,27,"Arts, Design, Entertainment, Sports, and Media",0.3258,0.0645,0.5,0.5,0.5,Medium,imputed,,8900
27-4021,Photographers,27,"Arts, Design, Entertainment, Sports, and Media",0.2838,0.021,0.5308,0.4164,0.3964,Low,actual,High school diploma or equivalent,51760
27-4031,"Camera Operators, Television, Video, and Film",27,"Arts, Design, Entertainment, Sports, and Media",0.5007,0.6,0.5475,0.4513,0.2241,Medium,actual,Bachelor's degree,21550
27-4032,Film and Video Editors,27,"Arts, Design, Entertainment, Sports, and Media",0.5734,0.31,0.6925,0.6337,0.9972,Medium,actual,Bachelor's degree,25610
27-4099,"Media and Communication Equipment Workers, All Other",27,"Arts, Design, Entertainment, Sports, and Media",0.48,0.0645,0.5,0.9067,0.986,Medium,imputed,,12450
29-1011,Chiropractors,29,Healthcare Practitioners and Technical,0.3986,0.027,0.7475,0.266,0.9846,Medium,actual,Doctoral or professional degree,39630
29-1021,"Dentists, General",29,Healthcare Practitioners and Technical,0.4015,0.0044,0.7558,0.3301,0.965,Medium,actual,Doctoral or professional degree,124390
29-1022,Oral and Maxillofacial Surgeons,29,Healthcare Practitioners and Technical,0.3056,0.0036,0.8058,0.4652,0.0644,Medium,actual,Doctoral or professional degree,4910
29-1023,Orthodontists,29,Healthcare Practitioners and Technical,0.3448,0.023,0.6075,0.2326,0.9146,Medium,actual,Doctoral or professional degree,6210
29-1024,Prosthodontists,29,Healthcare Practitioners and Technical,0.246,0.055,0.8283,0.0028,0.1092,Low,actual,Doctoral or professional degree,870
29-1029,"Dentists, All Other Specialists",29,Healthcare Practitioners and Technical,0.205,0.0335,0.5,0.2312,0.1359,Low,imputed,,5230
29-1031,Dietitians and Nutritionists,29,Healthcare Practitioners and Technical,0.3102,0.0039,0.7408,0.1992,0.5574,Medium,actual,Bachelor's degree,77570
29-1041,Optometrists,29,Healthcare Practitioners and Technical,0.4594,0.14,0.8983,0.2479,0.8613,Medium,actual,Doctoral or professional degree,42790
